vma,size,isa,evidence,name
0x080103F0,0x90,thumb,rom-pointer,sub_080103f0
0x08010480,0x70,thumb,rom-pointer,sub_08010480
0x080104F0,0x1C,thumb,rom-pointer,sub_080104f0
0x0801050C,0x1C,thumb,rom-pointer,sub_0801050c
0x08010528,0x30C,thumb,rom-pointer,sub_08010528
0x08010834,0x194,thumb,rom-pointer,sub_08010834
0x080109C8,0x170,thumb,rom-pointer,sub_080109c8
0x08010B38,0x74,thumb,rom-pointer,sub_08010b38
0x08010BAC,0x108,thumb,rom-pointer,sub_08010bac
0x08010CB4,0x204,thumb,rom-pointer,sub_08010cb4
0x08010EB8,0x29C,thumb,rom-pointer,sub_08010eb8
0x08011154,0x54,thumb,rom-pointer,sub_08011154
0x080111A8,0x224,thumb,rom-pointer,sub_080111a8
0x080113CC,0x8C,thumb,rom-pointer,sub_080113cc
0x08011458,0x148,thumb,rom-pointer,sub_08011458
0x080115A0,0x16C,thumb,rom-pointer,sub_080115a0
0x0801170C,0x174,thumb,rom-pointer,sub_0801170c
0x08011880,0x134,thumb,rom-pointer,sub_08011880
0x080119B4,0x1AC,thumb,rom-pointer,sub_080119b4
0x08011B60,0x9C,thumb,rom-pointer,sub_08011b60
0x08011BFC,0x3FC,thumb,rom-pointer,sub_08011bfc
0x08011FF8,0x24,thumb,rom-pointer,sub_08011ff8
0x0801201C,0x60C,thumb,rom-pointer,sub_0801201c
0x08012628,0x3D0,thumb,rom-pointer,sub_08012628
0x080129F8,0x19C,thumb,rom-pointer,sub_080129f8
0x08012B94,0x264,thumb,rom-pointer,sub_08012b94
0x08012DF8,0x74,thumb,rom-pointer,sub_08012df8
0x08012E6C,0x174,thumb,rom-pointer,sub_08012e6c
0x08012FE0,0x78,thumb,rom-pointer,sub_08012fe0
0x08013058,0x2F0,thumb,rom-pointer,sub_08013058
0x08013348,0xE8,thumb,rom-pointer,sub_08013348
0x08013430,0x4C,thumb,rom-pointer,sub_08013430
0x0801347C,0x67C,thumb,rom-pointer,sub_0801347c
0x08013AF8,0xEC,thumb,rom-pointer,sub_08013af8
0x08013BE4,0x254,thumb,rom-pointer,sub_08013be4
0x08013E38,0x254,thumb,rom-pointer,sub_08013e38
0x0801408C,0xF8,thumb,rom-pointer,sub_0801408c
0x08014184,0x11C,thumb,rom-pointer,sub_08014184
0x080142A0,0x114,thumb,rom-pointer,sub_080142a0
0x080143B4,0xD8,thumb,rom-pointer,sub_080143b4
0x0801448C,0x24,thumb,rom-pointer,sub_0801448c
0x080144B0,0x4E4,thumb,rom-pointer,sub_080144b0
0x08014994,0x274,thumb,rom-pointer,sub_08014994
0x08014C08,0x100,thumb,rom-pointer,sub_08014c08
0x08014D08,0x164,thumb,rom-pointer,sub_08014d08
0x08014E6C,0x34,thumb,rom-pointer,sub_08014e6c
0x08014EA0,0x3C8,thumb,rom-pointer,sub_08014ea0
